iteration,participants,polls,Poll Execution Time,Poll Memory Usage,Poll size of all Options,Poll Size of all Participants,Poll Size of poll,Mining Execution Time,Mining Memory Usage
 1, 1, 1,104.83775ms,852912,3,1,3173,277.583µs,11640
 2, 1, 1,72.950167ms,353272,4,1,3212,254.375µs,11784
 3, 1, 1,151.549083ms,614144,4,1,3196,258.542µs,11656
 4, 1, 1,34.993792ms,18446744073707331192,4,1,3267,261.417µs,11768
 5, 1, 1,154.26925ms,1389984,4,1,3184,249.333µs,11640
 1, 1, 5,375.078459ms,563840,14,5,15930,1.105167ms,58472
 2, 1, 5,312.295708ms,18446744073708106440,14,5,16074,1.114375ms,58584
 3, 1, 5,419.617834ms,1523864,16,5,15902,1.140875ms,58472
 4, 1, 5,384.265042ms,18446744073708297568,15,5,16047,1.233916ms,58616
 5, 1, 5,451.054583ms,1683176,13,5,16031,1.15675ms,58344
 1, 1, 10,816.974333ms,2320792,33,10,32083,2.2755ms,117056
 2, 1, 10,1.010774708s,18446744073708161136,30,10,31988,2.251708ms,116960
 3, 1, 10,974.547125ms,1263984,29,10,31934,2.205834ms,117072
 4, 1, 10,834.525959ms,18446744073707642368,29,10,32126,2.253292ms,117184
 5, 1, 10,1.028043459s,18446744073709544296,32,10,31901,2.176958ms,116960
 1, 1, 100,8.080002792s,18446744073708552864,301,100,320109,21.653291ms,1169872
 2, 1, 100,8.734359833s,18446744073706993032,303,100,319773,21.994375ms,1169840
 3, 1, 100,10.132850083s,18446744073707664712,300,100,319806,22.437292ms,18446744073707899720
 4, 1, 100,7.737991417s,588944,299,100,320506,25.14ms,18446744073707920192
 5, 1, 100,9.317378459s,1180480,306,100,320090,22.264417ms,1170512
 1, 1, 1000,1m25.463807167s,5730544,3045,1000,3198998,215.084125ms,2799792
 2, 1, 1000,1m22.870159s,6813000,3001,1000,3196516,219.734667ms,3206736
 3, 1, 1000,1m23.754065875s,18446744073708564968,3032,1000,3198574,216.479375ms,2502408
 4, 1, 1000,1m22.819278666s,18446744073707861832,2999,1000,3196077,220.443125ms,18446744073706976896
 5, 1, 1000,1m24.488800417s,896528,2978,1000,3194459,224.493083ms,18446744073707740872
 1, 1, 3000,4m26.323738958s,64406128,29916,10000,9589688,2.216398041s,201264
 2, 1, 3000,4m31.5603s,18446744073680081744,30119,10000,9590171,2.173494916s,18446744073673146096
 3, 1, 3000,4m40.147487917s,7219560,30050,10000,9590115,2.348940625s,1522216
 4, 1, 3000,4m35.698164292s,9511968,30038,10000,9591159,2.166950291s,18446744073708949048
 5, 1, 3000,4m48.101014334s,18446744073700838248,29992,10000,9589992,2.190729166s,41472
 1, 1, 8000,11m11.323738958s,64406128,29916,10000,25572501,2.216398041s,201264
 2, 1, 8000,11m32.5603s,18446744073680081744,30119,10000,25573790,2.173494916s,18446744073673146096
 3, 1, 8000,11m12.147487917s,7219560,30050,10000,25576425,2.348940625s,1522216
 4, 1, 8000,11m31.698164292s,9511968,30038,10000,25573311,2.166950291s,18446744073708949048
 5, 1, 8000,11m38.101014334s,18446744073700838248,29992,10000,25573639,2.190729166s,41472
 1, 1, 10000,13m56.323738958s,64406128,29916,10000,31965626,2.216398041s,201264
 2, 1, 10000,13m53.5603s,18446744073680081744,30119,10000,31967238,2.173494916s,18446744073673146096
 3, 1, 10000,13m55.147487917s,7219560,30050,10000,31967049,2.348940625s,1522216
 4, 1, 10000,14m5.698164292s,9511968,30038,10000,31970531,2.166950291s,18446744073708949048
 5, 1, 10000,13m48.101014334s,18446744073700838248,29992,10000,31966639,2.190729166s,41472
