iteration,participants,polls,Poll Execution Time,Poll Memory Usage,Poll size of all Options,Poll Size of all Participants,Poll Size of poll,Mining Execution Time,Mining Memory Usage
1,1,1,0.10483775,852912,3,1,3173,0.00027758300000000003,11640
2,1,1,0.072950167,353272,4,1,3212,0.000254375,11784
3,1,1,0.151549083,614144,4,1,3196,0.00025854199999999995,11656
4,1,1,0.034993791999999996,18446744073707331192,4,1,3267,0.00026141699999999995,11768
5,1,1,0.15426925,1389984,4,1,3184,0.000249333,11640
1,1,5,0.37507845900000003,563840,14,5,15930,0.001105167,58472
2,1,5,0.312295708,18446744073708106440,14,5,16074,0.001114375,58584
3,1,5,0.419617834,1523864,16,5,15902,0.0011408750000000002,58472
4,1,5,0.384265042,18446744073708297568,15,5,16047,0.001233916,58616
5,1,5,0.45105458299999995,1683176,13,5,16031,0.00115675,58344
1,1,10,0.816974333,2320792,33,10,32083,0.0022755,117056
2,1,10,1.010774708,18446744073708161136,30,10,31988,0.002251708,116960
3,1,10,0.9745471250000001,1263984,29,10,31934,0.002205834,117072
4,1,10,0.8345259589999999,18446744073707642368,29,10,32126,0.002253292,117184
5,1,10,1.028043459,18446744073709544296,32,10,31901,0.002176958,116960
1,1,100,8.080002792,18446744073708552864,301,100,320109,0.021653290999999998,1169872
2,1,100,8.734359833,18446744073706993032,303,100,319773,0.021994375,1169840
3,1,100,10.132850083,18446744073707664712,300,100,319806,0.022437292,18446744073707899720
4,1,100,7.737991417,588944,299,100,320506,0.02514,18446744073707920192
5,1,100,9.317378459,1180480,306,100,320090,0.022264417,1170512
1,1,1000,85.463807167,5730544,3045,1000,3198998,0.215084125,2799792
2,1,1000,82.870159,6813000,3001,1000,3196516,0.219734667,3206736
3,1,1000,83.754065875,18446744073708564968,3032,1000,3198574,0.216479375,2502408
4,1,1000,82.819278666,18446744073707861832,2999,1000,3196077,0.22044312500000002,18446744073706976896
5,1,1000,84.488800417,896528,2978,1000,3194459,0.224493083,18446744073707740872
1,1,3000,266.323738958,64406128,29916,10000,31965626,2.216398041,201264
2,1,3000,271.5603,18446744073680081744,30119,10000,31967238,2.173494916,18446744073673146096
3,1,3000,280.147487917,7219560,30050,10000,31967049,2.348940625,1522216
4,1,3000,275.698164292,9511968,30038,10000,31970531,2.166950291,18446744073708949048
5,1,3000,288.101014334,18446744073700838248,29992,10000,31966639,2.190729166,41472
1,1,8000,671.323738958,64406128,29916,10000,31965626,2.216398041,201264
2,1,8000,692.5603,18446744073680081744,30119,10000,31967238,2.173494916,18446744073673146096
3,1,8000,672.147487917,7219560,30050,10000,31967049,2.348940625,1522216
4,1,8000,691.698164292,9511968,30038,10000,31970531,2.166950291,18446744073708949048
5,1,8000,698.101014334,18446744073700838248,29992,10000,31966639,2.190729166,41472
1,1,10000,836.323738958,64406128,29916,10000,31965626,2.216398041,201264
2,1,10000,833.5603,18446744073680081744,30119,10000,31967238,2.173494916,18446744073673146096
3,1,10000,835.147487917,7219560,30050,10000,31967049,2.348940625,1522216
4,1,10000,845.698164292,9511968,30038,10000,31970531,2.166950291,18446744073708949048
5,1,10000,828.101014334,18446744073700838248,29992,10000,31966639,2.190729166,41472
